only code,lab_att,lab_score,hm_score,lab_att,lab_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_att
174c549d00df8f8a800270a48fbb2706,1,10,100,1,10,1,10,60,1,0,0,1,0,95,1,10,78,1,0,0,,10,95,1,0,0,1,10,0,1,10,80,1,10,100,1,0
183aa5ee11f8cadc7888e59ed905943b,1,0,100,1,10,1,10,90,1,0,32.5,1,0,0,1,0,83,1,0,95,1,0,100,1,0,98,1,0,88,1,10,86,1,0,100,1,0
1858f629d0763fe4ad663f91e437ceba,1,10,100,1,10,1,10,100,1,10,100,1,0,100,1,10,100,1,10,100,1,10,100,1,10,89,1,10,100,1,10,55,1,10,100,1,0
1a8c022ed9a6310f724cf75240fdb4ac,1,0,100,1,10,0,0,100,1,0,77.5,1,0,94,0,0,100,1,0,100,0,0,100,0,0,26,0,0,90,0,0,45,,0,100,1,1
1acc62008d1b4a8dec4a41cf3e76b7a3,1,10,100,1,0,1,10,100,1,0,100,1,0,100,1,10,100,1,10,100,1,0,100,1,0,96,1,0,100,1,10,45,1,0,100,1,0
1adcd0567b29d6597ff839d71e1c0144,1,10,100,1,10,1,10,100,1,0,100,1,10,100,1,10,90,1,10,100,1,10,100,1,10,38,1,0,92,0,0,0,1,10,100,1,0
1e1ec71af6fa49857209d9ccda33cae0,1,10,90,1,0,1,10,10,1,0,95,1,10,100,1,10,95,1,0,100,1,10,100,1,10,100,,0,100,1,10,80,1,10,90,1,0
1e9603b8e30aea0131aaae8640bbdd06,1,10,98,1,0,1,0,100,1,0,100,1,10,82,1,10,100,,0,100,1,0,100,1,10,82,1,0,90,1,0,65,1,10,100,1,1
1ed42c4de6de24fbf1fd297784a2f57a,1,10,100,1,0,1,10,15,1,0,95,1,10,94,0,0,90,0,0,Grade Problem,1,0,100,0,0,66,1,0,5,0,0,10,,0,75,0,1
1ee253372b54632aab1364fb15b6a356,1,10,100,1,10,1,10,95,1,0,95,1,10,91,1,10,100,1,10,100,1,10,100,1,10,80,1,0,89,1,10,60,1,10,100,1,0
22aaa728cfceb029465467a2146f4db0,1,10,100,1,10,1,10,95,1,10,100,1,10,100,1,10,100,1,0,100,1,10,100,1,10,81,1,0,51,1,10,42,1,10,100,1,0
2329c54ff1615497086e7f6472316f33,1,10,100,1,10,1,10,100,1,10,100,1,10,100,1,10,61,1,0,100,1,10,100,1,10,100,1,10,0,1,10,80,1,10,100,1,0
240faa3debdb9721e5004fcc052eebf9,1,10,100,1,0,,0,100,1,0,100,1,10,95,1,10,83,1,0,100,1,10,100,1,0,100,1,0,27,1,10,26,1,10,100,1,0
243da1ebdf5d818626f0d5193c0ea887,1,10,100,1,0,1,10,95,1,0,100,,0,100,,10,100,1,10,100,1,10,95,1,10,87,,0,100,,0,40,,0,100,,0
2577c0a35b2a25c78a91cfc97b24f07a,1,0,100,1,10,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,99,1,10,77,1,10,40,1,10,100,1,1
28cbcad74490c2b103b6c33a9d5cfe32,1,10,100,,10,1,10,95,1,10,100,1,10,79,1,10,69,1,10,100,1,10,100,1,10,84,1,0,94,1,10,95,1,10,100,1,0
2950d53bcc84c77c201db695b24ee8a3,1,0,100,1,0,1,0,100,,0,100,1,10,82,1,10,56,1,10,100,1,0,100,1,10,100,1,10,59,1,10,10,1,10,98,1,0
29807f684356a8049ef12e75a5c1b94e,1,10,100,,0,,0,100,,0,0,,0,90,1,10,45,,0,37,1,0,100,1,10,38,,0,0,,0,0,,0,75,,1
29ec00941ae9f130cefe55ee44278730,1,0,100,1,0,,0,100,,0,47,,0,100,,0,100,1,0,100,1,10,100,,0,100,,0,46,,0,80,,0,100,1,1
2a606081a5de14a53597fe70d8cb60ea,1,10,100,1,10,1,10,85,,10,100,1,10,100,1,10,64,1,0,100,1,10,100,1,10,54,1,0,57,,0,86,1,10,100,1,1
2a665e1c485cad6016fba793e6bd117b,1,0,40,1,0,1,10,20,,0,100,1,0,100,1,0,64,1,10,4,,10,100,1,0,55,1,0,46,1,10,13,,0,100,1,1
2b36e92f400d76d1941b30e146eee70f,1,10,100,1,0,1,10,100,1,0,100,,0,100,1,0,100,1,10,100,,0,100,,0,94,1,0,77,1,10,40,1,10,100,1,1
2c91fcac911ac04942ede10a86cc6778,1,10,100,1,0,1,10,90,,0,100,1,10,97,1,10,80,1,10,100,,0,100,1,10,66,,0,95,,0,55,1,10,100,,1
2cb3baf73063d352436222709281835a,1,10,100,1,10,1,10,#N/A,1,0,100,1,10,100,1,10,45,1,10,100,1,10,100,1,10,76,1,10,90,1,10,45,1,0,100,,1
2d4ff77eac213968eabb51289f51203d,1,10,100,1,10,,0,95,1,10,100,,0,100,1,10,100,1,0,100,,0,100,,0,100,,0,65,,0,100,,0,100,,1
2e7dcd5d31819970aad9a2abea8db287,1,10,100,1,10,1,10,100,0,0,100,0,10,100,0,10,100,1,10,100,1,10,100,1,10,88,1,10,64,1,10,38,1,10,100,0,1
2fff32c36b3c935f7e06615e76777eb3,1,0,100,1,0,,0,100,1,10,72.5,1,0,100,1,10,100,1,10,100,1,10,100,1,10,9,1,0,79,1,10,13,1,10,100,1,1
306b8a0057cbf61cde8c873c8e450648,1,0,100,,0,,0,100,,0,100,,0,100,1,0,95,,0,95,,0,100,,0,63,,0,0,,0,35,,0,100,,1
3102245061d605c5e91b853edfafcbfe,1,10,100,1,10,1,10,90,,0,95,1,10,100,1,10,100,1,10,100,1,10,100,1,10,0,1,10,77,1,10,80,1,10,100,1,1
318a11e836b7399fbe9b91d3693e7d5b,1,10,100,1,10,1,10,100,1,0,100,1,10,90,1,10,100,1,10,100,1,10,100,1,10,85,1,0,68,1,10,70,,0,100,,1
31ef9eed88f38d40d7715d1ad975763b,1,10,100,1,10,1,0,100,1,0,95,1,10,82,1,0,99,1,10,100,1,10,100,1,10,82,1,0,100,1,10,60,1,0,70,1,1
32ee8779bc48c5202d0efd99747b0ea0,1,0,96,1,0,1,10,100,1,0,94,1,0,0,1,0,0,1,10,10,,0,0,1,10,0,,0,73,1,10,36,1,10,90,1,1
33d43c5ffad42ae78f2511ef2a1de7ec,1,10,100,1,10,1,10,100,1,10,95,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,95,1,10,80,1,10,100,1,1
3409696ac43a24273509de03dbfeeb88,1,10,100,1,10,1,10,95,1,10,94,1,10,100,1,10,80,1,10,95,1,10,100,1,10,,1,0,76,1,10,25,1,10,100,1,1
344b3068cbcd0da5ac32245868fbda1c,1,10,100,1,10,1,10,100,,0,100,1,10,100,1,10,64,1,10,37,1,10,100,1,10,65,1,0,79,1,10,13,1,10,65,1,1
34f4ae7d9a2a9ed659d76442ff3e4b65,1,10,100,1,10,1,10,100,1,10,100,1,10,100,1,10,100,,10,100,1,0,100,,0,100,1,10,100,,0,93,,0,100,1,1
35345915307fc2c2ee2c0c797de223b7,1,10,100,1,10,1,10,100,1,10,95,1,10,95,1,10,59,1,0,90,1,10,100,1,10,100,1,10,75,1,10,50,1,10,100,1,1
36ce7a3b09b076cf2b33610cc000969a,1,0,10,1,0,,0,10,,0,10,,0,5,1,0,45,,0,0,,0,100,,0,0,,0,90,,0,0,,0,0,,1
37a7a0fe4a2dae81062dfa96a50ffa71,1,10,100,1,0,,0,100,,0,100,,0,95,1,0,100,,0,100,,0,100,,0,89,,0,68,,0,80,,0,100,,1
380df545148be74a352cd3abaf698f40,1,10,100,1,0,1,0,20,,0,100,1,10,100,1,10,100,1,0,100,1,0,100,1,10,95,1,0,77,1,10,61,1,10,100,1,1
3826827edf19ed64c0b6bd2a46e8f20d,1,10,100,1,10,1,10,100,1,0,100,1,10,100,1,10,100,,10,100,1,10,100,1,10,92,1,0,83,1,10,0,1,10,92,1,1
383be892a7582a448b823e3dba75ca46,1,10,100,1,10,1,10,100,,0,75,1,10,82,1,0,87,1,0,100,,0,100,1,10,100,1,0,89,1,0,59,1,0,100,1,1
39e0c111e590763fa8b39265ad9b6741,1,10,100,1,10,,10,90,1,0,100,1,10,100,1,10,90,1,10,100,,0,100,1,0,100,1,0,89,,0,100,1,0,100,1,1
3cc0d083252d8710ce88d76db6231954,1,0,100,0,0,0,0,0,0,0,67.5,0,0,10,0,0,90,0,0,Grade problem,0,0,0,0,0,76,0,0,88,0,0,43,,0,96,1,1
3d8fab7c91402172d2253fb8907d49de,1,10,100,1,0,1,10,100,1,0,100,1,10,100,1,10,80,1,0,100,1,0,100,1,10,100,1,0,88,1,0,65,,0,100,1,1
3d9a3a23a53170d1dc5e6837f49f157c,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,95,0,0,1,0,0,0,,0,10,0,1
3f19f797c9b3c59edd0e76f635954d27,1,10,100,1,10,1,10,100,1,10,72.5,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,95,1,10,95,1,10,100,1,1
3fe999de68d04772e277f327c7a26786,1,10,100,1,0,0,0,100,0,0,67.5,0,0,77,0,0,90,0,0,10,1,0,100,1,10,66,0,0,41,1,10,10,,0,100,0,1
4217056ec366f3ad1b13588c322c1a54,1,10,40,1,0,1,10,95,1,10,32.5,1,10,82,1,10,59,1,10,10,1,10,94,1,10,98,,0,0,1,10,13,1,10,98,1,1
42b63d7b616c276757b16ab173e79cab,1,10,100,1,0,1,10,100,,0,100,1,10,100,1,10,100,1,0,100,1,10,100,1,0,100,1,0,100,1,0,65,,0,100,1,1
430f3b081cb589697a29b3de575f58ba,1,0,40,1,0,1,10,10,1,0,100,1,10,100,1,10,64,1,0,10,1,10,100,1,10,55,1,0,51,1,10,15,1,10,96,1,1
437b2a5212eb4edaf196c87649c0aa54,1,10,100,1,10,1,0,100,,0,100,1,10,100,1,10,100,1,10,100,1,0,100,,0,100,,0,73,,0,40,,0,100,,1
438a141aa01c18cf9a2bd1000f27939f,0,0,100,1,0,1,0,100,,0,55,,0,95,1,0,100,,0,100,1,10,100,2,10,100,1,10,88,,0,80,1,0,95,1,1
44306691c840cc1d3ad8368e3e1d64c2,1,10,100,,0,1,10,100,1,10,30,1,10,100,1,10,100,1,10,100,1,10,100,,10,54,1,0,33,1,10,65,1,10,100,1,1
46e77ea26564d2ac4a5485c34d915de1,1,10,100,1,10,1,10,100,1,10,100,1,10,100,1,10,100,,10,100,1,0,100,1,10,99,1,10,94,1,10,95,1,10,100,1,1
474c05c9d4ec18ab9623d07312c24bbc,1,10,100,,0,1,10,100,1,10,67.5,1,10,100,1,10,100,1,0,100,1,10,100,1,0,55,1,0,100,1,10,38,1,10,100,1,1
477ad73212e7acad47d9de8a877becc9,1,10,100,1,10,1,10,90,,0,100,1,10,28,1,10,100,1,10,100,1,10,100,1,10,100,1,0,65,1,10,12,1,10,100,1,1
47db9565dc82a90290e01e457998a09d,1,0,98,1,10,1,10,72,1,0,32.5,1,10,0,1,10,83,1,10,0,1,10,0,1,10,0,1,10,29,,10,14,1,10,10,1,1
4886fe1ca56580d35ab99c4ad72f8fe5,1,10,70,1,10,1,10,100,1,10,95,1,10,100,1,10,95,,10,100,1,10,100,1,10,95,1,0,100,1,10,16,1,10,95,1,1
48df395d43662277cbeaf3a1c4ac377f,1,10,98,1,0,1,0,90,1,0,100,1,10,82,1,10,100,1,10,100,1,10,100,1,10,87,1,10,41,1,10,75,1,10,100,,1
49a7ec56fff55b8644bfe5a2c2fad0f6,1,10,100,1,0,0,0,95,1,0,98,0,0,100,1,10,100,1,10,100,1,0,100,1,10,100,0,0,23,1,0,10,1,10,55,1,1
49f0b34a4d9e77632f762d00a3c319a7,1,10,98,,0,,0,100,,0,90,1,10,64,1,10,46,1,10,96,1,10,98,,0,31,,0,94,1,0,59,,0,96,1,1
4b13d83e67c796205a1315f7a1e05ba4,1,10,100,1,10,1,10,100,1,10,100,1,10,100,1,10,90,1,10,100,1,10,100,,0,92,1,10,82,1,10,70,,0,100,1,1
4b8a4bd19ed1bfc4895eff8a357799b1,1,0,100,0,0,0,0,95,0,0,67.5,0,0,90,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,24,,0,100,1,1
4cd419bf1ceee09487b9332d829bcd77,1,10,100,1,10,1,10,90,1,0,77.5,1,10,59,1,10,95,1,10,100,1,10,100,1,10,95,1,0,60,1,10,10,1,10,90,1,1
4d956d11668d9b1f80c53ac0e37d2dcf,1,10,100,1,0,1,10,100,1,0,77.5,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,89,1,10,50,1,10,100,1,1
4dcbf113f26c8b375c0dcbd822ea1356,1,10,100,1,0,,0,95,,0,100,,0,100,,0,84,1,10,100,,0,100,,0,100,,0,90,,0,60,,0,100,1,1
4f3c9d7ed66b38b1c799c80130967dec,1,10,100,1,10,1,10,100,1,10,100,1,10,100,1,10,100,1,0,100,1,0,100,1,10,100,1,10,88,1,10,95,1,10,100,,1
50d826c32139accecb4fdd212dd5a884,1,10,100,1,10,1,10,90,0,0,77.5,0,10,100,0,10,100,0,0,100,1,10,100,1,10,81,0,0,98,1,10,85,1,10,100,1,1
510e0b550cd5106e6316778c72128fbc,1,10,70,1,10,1,10,100,1,0,100,1,0,100,1,10,90,1,10,100,1,10,100,,0,88,1,0,86,1,10,25,1,10,100,1,1
524fd0f1dde6805e8d8911a021e08513,,0,0,,0,,0,5,,0,90,,0,18,1,0,36,,0,0,,0,90,,0,0,,0,0,,0,0,,0,0,,1
52669e9a4a0223c88a38aace7f9fcbe1,1,10,98,1,10,1,10,90,1,10,90,1,0,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,80,1,10,15,,0,100,1,1
55638721dcee12cb1cf59969779d73fd,,0,10,1,10,1,10,100,,10,95,1,10,77,1,10,100,1,10,100,1,10,100,,10,90,1,10,89,1,10,65,1,0,100,1,1
55669a78df24ac65b5f70262e7b6c835,1,10,93,1,10,1,10,100,1,10,100,1,0,100,1,10,100,1,0,100,1,10,100,1,10,80,1,0,95,,10,55,1,10,100,1,1
56982d9c8a056a9c1e476bb30f72eb53,1,10,100,1,10,1,10,100,1,10,77.5,1,10,100,1,10,100,1,0,100,1,10,100,1,10,95,1,0,46,1,10,21,1,10,100,1,1
